event_date,spot_id,conteo_vistas
20250225,32129,2
20250225,28374,1
20250225,13619,2
20250225,41010,1
20250225,12309,2
20250225,30574,4
20250225,40950,1
20250225,17994,2
20250225,32517,1
20250225,35476,5
20250225,41480,2
20250225,20844,5
20250225,29092,1
20250225,15908,1
20250225,33033,1
20250225,32504,4
20250225,29115,1
20250225,38216,29
20250225,41021,5
20250225,38390,3
20250225,39175,2
20250225,23589,1
20250225,15034,4
20250225,35422,2
20250225,26063,4
20250225,5542,1
20250225,31057,1
20250225,32843,1
20250225,23082,1
20250225,23226,1
20250225,15379,5
20250225,37375,3
20250225,33996,1
20250225,39122,7
20250404,42431,1
20250404,37348,1
20250404,28546,6
20250404,15712,1
20250404,37232,1
20250404,44282,2
20250404,40962,2
20250404,35831,1
20250404,36420,1
20250404,42516,1
20250404,43282,3
20250404,36284,2
20250404,28494,3
20250404,11539,1
20250404,39903,2
20250404,43439,1
20250404,27891,1
20250404,18645,1
20250404,45078,4
20250426,37009,1
20250426,47050,79
20250426,20849,6
20250426,30979,1
20250426,20806,1
20250426,40915,5
20250426,44876,4
20250426,28477,1
20250426,27280,2
20250426,38600,7
20250426,28918,1
20241207,12782,4
20241230,36596,1
20241230,15276,1
20241230,13565,3
20241230,1759,1
20241230,5370,2
20241230,19280,1
20241217,32917,1
20241217,27524,2
20241217,26970,2
20241217,28833,1
20250407,33878,2
20250407,18951,2
20250407,13565,1
20250407,14585,1
20250407,14127,3
20250407,29983,1
20250407,42230,1
20250407,30662,1
20250407,43662,1
20250407,27772,1
20250407,29092,1
20250407,15230,1
20250407,39798,3
20250407,12424,5
20250407,43140,2
20250407,28936,1
20250407,30710,3
20250407,29549,1
20250407,38008,1
20250407,23449,1
20250407,20756,2
20250407,27485,1
20250407,42394,1
20250407,28675,1
20250120,2842,2
20250120,29031,1
20250120,31895,1
20250120,17929,8
20250120,20033,2
20250120,28671,2
20250120,33930,2
20250120,31555,9
20250120,38293,1
20250120,33714,3
20250120,38198,1
20250120,1487,2
20250120,33379,1
20250120,26660,2
20250120,36359,5
20250120,26481,1
20250120,29730,2
20250120,36717,2
20250120,29894,1
20250120,27625,2
20250120,29025,1
20250120,20722,1
20250120,23188,3
20250120,27340,1
20250120,23585,1
20250120,30979,3
20250120,23083,1
20250120,37110,1
20250120,2444,1
20250204,29062,3
20250204,39017,1
20250204,36135,3
20250204,39416,5
20250204,36714,1
20250204,30114,1
20250204,38222,1
20250204,13111,5
20250204,39373,1
20250204,36502,1
20250204,35593,2
20250204,28674,3
20250204,13636,1
20250204,33600,1
20250204,15820,1
20250204,14537,1
20250204,33295,1
20250204,15122,1
20250204,13635,1
20250204,17445,1
20250204,39069,1
20250204,38589,1
20250204,20283,1
20250204,28542,1
20250211,22729,2
20250211,40025,1
20250211,15235,2
20250211,37059,1
20250211,40126,8
20250211,29092,2
20250211,39260,9
20250211,37091,5
20250211,12541,4
20250211,28536,1
20250211,26151,2
20250211,23552,2
20250211,26063,2
20250211,31781,2
20250211,28995,6
20250211,36676,3
20250516,36913,2
20250516,52456,2
20250516,46877,1
20250516,34434,1
20250516,41465,1
20250516,36988,1
20250516,20469,1
20250516,35857,1
20250516,27654,1
20250516,5724,1
20250516,48497,1
20250516,11017,1
20250516,50765,1
20250516,20023,1
20250516,1726,1
20250516,28479,2
20250516,12898,1
20250516,23350,1
20250516,23509,2
20250516,36931,2
20250516,28470,1
20250306,29724,1
20250306,41947,1
20250306,36389,3
20250306,35999,9
20250306,35856,2
20250306,36786,1
20250306,37859,1
20250306,29258,4
20250306,886,1
20250306,30979,3
20250306,37171,1
20250306,5311,1
20250306,15235,1
20250306,38638,1
20250306,42870,1
20250306,43197,4
20250306,35889,3
20250605,47392,31
20250124,19970,3
20250124,37723,19
20250124,20722,2
20250124,15040,9
